availableSeats,capacity,code,credit,department,levels,title,waitlistAvailable,webEnabled
38,60,GE2216,3,English,"A,B",New Literacies in the Information Age,N,true
0,55,GE2218,3,Applied Social Sciences,B,Career Excellence in the 21st Century,N,true
23,80,GE2220,3,Marketing,B,Sustainable Business: Doing Good Business While Doing Good,N,true
0,240,GE2221,3,Applied Social Sciences,B,Violence and Crime,N,true
0,40,GE2223,3,Applied Social Sciences,B,Interpersonal Skills and Positive Personal Development,N,true
25,120,GE2225,3,Media and Communication,B,Media and Consumption: Food and Fashion in Everyday Life,N,true
45,95,GE2226,3,Applied Social Sciences,B,Ageing Society: Hong Kong and Beyond,N,true
0,80,GE2229,3,Economics & Finance,B,Uncovering the Global Economy through News,N,true
5,75,GE2231,3,Management,"A,B","Business, Media and Society",N,true
103,160,GE2242,3,Information Systems,B,Conducting Online Commerce in China,N,true
32,80,GE2246,3,Public Policy,B,Changing Our Society: Turning Social Problems into Business Opportunities,N,true
58,80,GE2249,3,Management,B,Maximising the Study Abroad Experience,N,true
72,98,GE2250,3,Architecture and Civil Engg,B,Understand Global Projects for Business and Engineering Professionals,N,true
69,90,GE2251,3,Architecture and Civil Engg,B,"Survey in Daily Life: Engineering, Business, and Political Applications",N,true
66,91,GE2253,3,Architecture and Civil Engg,B,Real Estate Development: Principles and Process,N,true
58,80,GE2254,3,Management,"A,B",Competition and Cooperation in Diverse Contexts,N,true
85,120,GE3201,3,Media and Communication,B,China in the Eyes of World Media,N,true
16,80,GE3204,3,Management,B,Business and Hong Kong Society,N,true
0,60,GE1301,3,Sch of Energy and Environment,"A,B",Climate Change and Extreme Weather,N,true
0,105,GE1305,3,Physics & Materials Science,"A,B",Everyday Physics: Its Impact on You and Society,N,true
0,65,GE1310,3,Biology & Chemistry,"A,B",The Biochemistry of Attraction,N,true
126,195,GE1322,3,Electronic Engineering,B,"Brain Machine Interface: Technology, Culture, and Society",N,true
28,45,GE1325,3,Mechanical and Biomedical Engg,B,From Ideas to Innovative Design,N,true
0,140,GE1326,3,Systems Engg and Engg Mgt,B,Common Accidents in Modern Day City Life - Inevitable? Preventable?,N,true
72,102,GE1327,3,Mathematics,B,Navigating Risk,N,true
6,55,GE1328,3,Biomedical Sciences,B,"Mind, Body and Energy",N,true
11,97,GE1330,3,Mechanical and Biomedical Engg,B,Learning from Nature,N,true
34,105,GE1331,3,Electronic Engineering,B,Problem Solving Made Easy,N,true
25,94,GE1332,3,Architecture and Civil Engg,B,Beauty of Ancient Chinese Architecture,N,true
71,97,GE1334,3,Mechanical and Biomedical Engg,B,New Materials in the 21st Century,N,true
0,40,GE1337,3,Sch of Energy and Environment,B,Urban Green City: Pollution and Solution,N,true
0,95,GE1343,3,Architecture and Civil Engg,B,Energy Crisis and Renewable Energy,N,true
36,97,GE1344,3,Mechanical and Biomedical Engg,B,Nutrition and Wellness,N,true
22,80,GE1346,3,Biology & Chemistry,B,The Chemists Kitchen (The Science of Food and Cooking),N,true
26,62,GE1347,3,Electronic Engineering,B,Technology and the Land Trekking Adventurer,N,true
0,54,GE2301,3,Mechanical and Biomedical Engg,"A,B",Science and Technology: From Past to Future,N,true
16,60,GE2302,3,Biology & Chemistry,B,Forensics and Modern Society,N,true
37,91,GE2303,3,Architecture and Civil Engg,"A,B",Save the Earth: Sustainable Development,N,true
37,50,GE2304,3,Systems Engg and Engg Mgt,B,Innovation and Entrepreneurship for Young Professionals,N,true
0,208,GE2305,3,Physics & Materials Science,"A,B",Astronomy - The Sky and Us,N,true
0,230,GE2314,3,Building Science & Technology,"A,B",Construction As One of the Founding Stones of Modern Hong Kong,N,true
0,150,GE2315,3,Computer Science,"A,B",Security and Privacy in the Information Age,N,true
33,220,GE2316,3,Electronic Engineering,B,"Computing Snapshot, Today and Tomorrow",N,true
144,190,GE2318,3,Electronic Engineering,B,From Ancient Wisdom to Modern Science,N,true
30,48,GE2319,3,Systems Engg and Engg Mgt,B,Industrial Engineering and Management of Modern Enterprises,N,true
54,70,GE2320,3,Mechanical and Biomedical Engg,B,Robots in Our Life: How Applications of Robots Affect Our Life and Society,N,true
95,120,GE2322,3,Biology & Chemistry,B,The Nobel Spirit,N,true
15,150,GE2323,3,Computer Science,"A,B","Mobile Social Networks: Practices, Challenges, and Beyond",N,true
30,60,GE2324,3,Computer Science,"A,B",The Art and Science of Data,N,true
18,60,GE2326,3,Computer Science,"A,B",Probability in Action: From the Unfinished Game to the Modern World,N,true
63,90,GE2328,3,Systems Engg and Engg Mgt,B,Understanding and Improving Enterprises for Future Leaders,N,true
0,110,GE2329,3,Building Science & Technology,"A,B",Green Buildings: Discovery and Innovations,N,true
